x,y,w,h,l
741.6574004683712,58.40409618399019,2.0327565670013428,1.6493593454360962,4.855708599090576
707.0874012586961,62.20935055951378,1.8508483171463013,1.6171095371246338,3.987684965133667
668.7622091929213,58.872756627720264,2.006814479827881,1.5248334407806396,4.513522624969482
595.7576528475535,58.95698995435913,2.128324270248413,1.5107464790344238,4.901683330535889
556.0904808022065,61.66027384475876,2.0384011268615723,1.5421181917190552,4.974244117736816
522.5882074248436,58.683945894958015,2.0327565670013428,1.6493593454360962,4.855708599090576
583.7691455011095,95.85408652123976,2.069315195083618,2.0377919673919678,4.4804368019104
541.5008642246328,85.78627637511494,1.970275640487671,1.4750301837921143,3.805800199508667
448.7971639166105,129.73719743931568,2.0384011268615723,1.5421181917190552,4.974244117736816
463.72383279037825,195.70698793226614,2.8910882472991943,3.8274123668670654,8.46804141998291
509.55801674407286,313.36228511981454,2.1499669551849365,2.045147180557251,5.565828800201416
521.2409707877869,117.2878687389441,3.9441518783569336,4.252848148345947,10.272685050964355
317.6177582361159,251.93379120404757,1.8816219568252563,1.5347249507904053,5.0078253746032715
