x,y,w,h,l
741.6977202686212,57.695145276677124,2.0327565670013428,1.6493593454360962,4.855708599090576
707.1149067673684,61.47806000276836,1.8508483171463013,1.6171095371246338,3.987684965133667
668.7736249889047,58.16349434617018,2.006814479827881,1.5248334407806396,4.513522624969482
595.7400741981858,58.247003963757436,2.128324270248413,1.5107464790344238,4.901683330535889
556.0559830035531,60.92673169178914,2.0384011268615723,1.5421181917190552,4.974244117736816
522.5415055107682,57.9730733311373,2.0327565670013428,1.6493593454360962,4.855708599090576
584.1768896485655,94.66663465698485,2.069315195083618,2.0377919673919678,4.4804368019104
541.9964952929433,85.08306269919177,1.970275640487671,1.4750301837921143,3.805800199508667
450.5950857261821,128.0454582694679,2.0384011268615723,1.5421181917190552,4.974244117736816
465.6078879452453,193.04353621067216,2.8910882472991943,3.8274123668670654,8.46804141998291
511.5871257999653,307.44138042221306,2.1499669551849365,2.045147180557251,5.565828800201416
522.0296362717252,116.14961322065867,3.9441518783569336,4.252848148345947,10.272685050964355
321.9144165512163,247.9264923131463,1.8816219568252563,1.5347249507904053,5.0078253746032715
6.7832153142660445,541.960213409056,1.8161858320236206,1.4738311767578125,4.1928300857543945
